,date,HT,MT,bdpocdiscipline
280,26/04/0002,4,1,DECK
281,26/04/0002,7,1,E&I
282,26/04/0002,5,1,MECH
283,26/04/0002,14,2,PROD
284,26/04/0002,2,0,RES
285,27/04/0002,4,1,DECK
286,27/04/0002,7,1,E&I
287,27/04/0002,5,1,MECH
288,27/04/0002,14,2,PROD
289,27/04/0002,2,0,RES
290,28/04/0002,4,1,DECK
291,28/04/0002,10,1,E&I
292,28/04/0002,5,1,MECH
293,28/04/0002,13,2,PROD
294,28/04/0002,2,0,RES
295,29/04/0002,4,1,DECK
296,29/04/0002,10,1,E&I
297,29/04/0002,5,1,MECH
298,29/04/0002,13,2,PROD
299,29/04/0002,2,0,RES
300,30/04/0002,4,1,DECK
301,30/04/0002,10,1,E&I
302,30/04/0002,5,1,MECH
303,30/04/0002,13,2,PROD
304,30/04/0002,2,0,RES
305,01/05/0002,4,1,DECK
306,01/05/0002,10,1,E&I
307,01/05/0002,5,1,MECH
308,01/05/0002,13,2,PROD
309,01/05/0002,2,0,RES
310,02/05/0002,4,1,DECK
311,02/05/0002,10,1,E&I
312,02/05/0002,5,1,MECH
313,02/05/0002,13,2,PROD
314,02/05/0002,2,0,RES
315,03/05/0002,4,1,DECK
316,03/05/0002,10,1,E&I
317,03/05/0002,5,1,MECH
318,03/05/0002,13,2,PROD
319,03/05/0002,2,0,RES
320,04/05/0002,4,1,DECK
321,04/05/0002,10,1,E&I
322,04/05/0002,5,1,MECH
323,04/05/0002,13,2,PROD
324,04/05/0002,2,0,RES
325,05/05/0002,4,1,DECK
326,05/05/0002,8,1,E&I
327,05/05/0002,5,1,MECH
328,05/05/0002,14,2,PROD
329,05/05/0002,2,0,RES
330,06/05/0002,4,1,DECK
331,06/05/0002,8,1,E&I
332,06/05/0002,5,1,MECH
333,06/05/0002,14,2,PROD
334,06/05/0002,2,0,RES
335,07/05/0002,4,1,DECK
336,07/05/0002,8,1,E&I
337,07/05/0002,5,1,MECH
338,07/05/0002,14,2,PROD
339,07/05/0002,2,0,RES
340,08/05/0002,4,1,DECK
341,08/05/0002,8,1,E&I
342,08/05/0002,5,1,MECH
343,08/05/0002,14,2,PROD
344,08/05/0002,2,0,RES
345,09/05/0002,4,1,DECK
346,09/05/0002,8,1,E&I
347,09/05/0002,5,1,MECH
348,09/05/0002,14,2,PROD
349,09/05/0002,2,0,RES
350,10/05/0002,4,1,DECK
351,10/05/0002,8,1,E&I
352,10/05/0002,5,1,MECH
353,10/05/0002,14,2,PROD
354,10/05/0002,2,0,RES
355,11/05/0002,4,1,DECK
356,11/05/0002,8,1,E&I
357,11/05/0002,5,1,MECH
358,11/05/0002,14,2,PROD
359,11/05/0002,2,0,RES
360,12/05/0002,5,1,DECK
361,12/05/0002,7,1,E&I
362,12/05/0002,5,1,MECH
363,12/05/0002,14,2,PROD
364,12/05/0002,2,0,RES
365,13/05/0002,5,1,DECK
366,13/05/0002,7,1,E&I
367,13/05/0002,5,1,MECH
368,13/05/0002,14,2,PROD
369,13/05/0002,2,0,RES
370,14/05/0002,5,1,DECK
371,14/05/0002,7,1,E&I
372,14/05/0002,5,1,MECH
373,14/05/0002,14,2,PROD
374,14/05/0002,2,0,RES
375,15/05/0002,5,1,DECK
376,15/05/0002,7,1,E&I
377,15/05/0002,5,1,MECH
378,15/05/0002,14,2,PROD
379,15/05/0002,2,0,RES
380,16/05/0002,5,1,DECK
381,16/05/0002,7,1,E&I
382,16/05/0002,5,1,MECH
383,16/05/0002,14,2,PROD
384,16/05/0002,2,0,RES
385,17/05/0002,5,1,DECK
386,17/05/0002,7,1,E&I
387,17/05/0002,5,1,MECH
388,17/05/0002,14,2,PROD
389,17/05/0002,2,0,RES
390,18/05/0002,5,1,DECK
391,18/05/0002,7,1,E&I
392,18/05/0002,5,1,MECH
393,18/05/0002,14,2,PROD
394,18/05/0002,2,0,RES
