,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
530,H13827885,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
531,H13827889,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
532,H13827893,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
533,H13827897,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
534,H13827901,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
535,H13827905,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
536,H13827909,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
537,H13827913,H13827881,1,HT,E&I,1.25,01/03/0002,30/04/0002,1
538,H13827917,,1,HT,E&I,24.0,01/03/0002,30/04/0002,3
539,H13827919,H13827917,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
540,H13827921,H13827917,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
541,H13827923,H13827917,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
542,H13827925,H13827917,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
543,H13827927,H13827917,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
544,H13827929,,1,HT,E&I,24.0,01/03/0002,30/04/0002,3
545,H13827932,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
546,H13827935,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
547,H13827938,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
548,H13827941,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
549,H13827944,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
550,H13827947,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
551,H13827950,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
552,H13827953,H13827929,1,HT,E&I,3.0,01/03/0002,30/04/0002,1
553,H13827956,,1,MT,E&I,8.0,01/03/0002,30/04/0002,1
554,H13827958,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
555,H13827960,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
556,H13827962,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
557,H13827964,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
558,H13827966,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
559,H13827968,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
560,H13827970,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
561,H13827972,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
562,H13827974,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
563,H13827976,H13827956,1,MT,E&I,0.8,01/03/0002,30/04/0002,1
564,H13827978,,1,MT,E&I,8.0,01/03/0002,30/04/0002,1
565,H13827980,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
566,H13827982,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
567,H13827984,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
568,H13827986,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
569,H13827988,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
570,H13827990,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
571,H13827992,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
572,H13827994,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
573,H13827996,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
574,H13827998,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
575,H13828000,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
576,H13828002,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
577,H13828004,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
578,H13828006,H13827978,1,MT,E&I,0.571428571428571,01/03/0002,30/04/0002,1
579,H13828008,,1,HT,MECH,20.0,01/03/0002,30/04/0002,2
580,H13828010,,1,HT,MECH,40.0,01/03/0002,30/04/0002,4
581,H13828012,,1,HT,MECH,20.0,01/03/0002,30/04/0002,2
582,H13828014,,1,HT,MECH,40.0,01/03/0002,30/04/0002,4
583,H13828016,,1,HT,MECH,10.0,01/03/0002,30/04/0002,1
584,H13828018,,1,HT,PROD,10.0,01/03/0002,30/04/0002,1
585,H13828022,,1,HT,E&I,20.0,01/03/0002,30/04/0002,2
